Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes
chipseq,normal,0.0,40,92,TEXTDISTANCE,338.85999999999996,6, 8, 1, 2, 7, 0, 1, 2, 3, 4, 7, 8, 0, 0, 0, 17, 7, 13, 1, 0, 4, 0, 0, 3, 0, 1, 3,{c5.2xlarge=6; c5.xlarge=8; c5a.2xlarge=1; c5a.xlarge=2; d3.2xlarge=7; d3.xlarge=0; i3.2xlarge=1; i3.large=2; i3.xlarge=3; m5.2xlarge=4; m5.large=7; m5.xlarge=8; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=17; m5zn.large=7; m5zn.xlarge=13; r5.2xlarge=1; r5.large=0; r5.xlarge=4; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=3; z1d.2xlarge=0; z1d.large=1; z1d.xlarge=3}
chipseq,normal,0.0,40,92,CRITICALPATH,395.36,5, 7, 4, 5, 7, 0, 2, 2, 2, 2, 2, 6, 0, 0, 0, 17, 11, 9, 2, 0, 3, 0, 0, 4, 0, 2, 6,{c5.2xlarge=5; c5.xlarge=7; c5a.2xlarge=4; c5a.xlarge=5; d3.2xlarge=7; d3.xlarge=0; i3.2xlarge=2; i3.large=2; i3.xlarge=2; m5.2xlarge=2; m5.large=2; m5.xlarge=6; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=17; m5zn.large=11; m5zn.xlarge=9; r5.2xlarge=2; r5.large=0; r5.xlarge=3; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=4; z1d.2xlarge=0; z1d.large=2; z1d.xlarge=6}
chipseq,normal,0.0,40,92,CRITICALPATHREVERSE,360.97999999999996,4, 6, 4, 4, 4, 0, 2, 1, 0, 1, 3, 2, 0, 0, 0, 19, 16, 20, 1, 0, 1, 0, 0, 3, 0, 3, 4,{c5.2xlarge=4; c5.xlarge=6; c5a.2xlarge=4; c5a.xlarge=4; d3.2xlarge=4; d3.xlarge=0; i3.2xlarge=2; i3.large=1; i3.xlarge=0; m5.2xlarge=1; m5.large=3; m5.xlarge=2; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=19; m5zn.large=16; m5zn.xlarge=20; r5.2xlarge=1; r5.large=0; r5.xlarge=1; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=3; z1d.2xlarge=0; z1d.large=3; z1d.xlarge=4}
chipseq,normal,0.0,40,92,RESHIV2,401.29999999999995,5, 7, 5, 5, 4, 0, 1, 1, 1, 1, 4, 4, 0, 0, 0, 16, 12, 14, 1, 0, 2, 0, 0, 3, 0, 4, 8,{c5.2xlarge=5; c5.xlarge=7; c5a.2xlarge=5; c5a.xlarge=5; d3.2xlarge=4; d3.xlarge=0; i3.2xlarge=1; i3.large=1; i3.xlarge=1; m5.2xlarge=1; m5.large=4; m5.xlarge=4; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=16; m5zn.large=12; m5zn.xlarge=14; r5.2xlarge=1; r5.large=0; r5.xlarge=2; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=3; z1d.2xlarge=0; z1d.large=4; z1d.xlarge=8}
chipseq,normal,0.0,40,92,RESHIV3,401.29999999999995,5, 7, 5, 5, 4, 0, 1, 1, 1, 1, 4, 4, 0, 0, 0, 16, 12, 14, 1, 0, 2, 0, 0, 3, 0, 4, 8,{c5.2xlarge=5; c5.xlarge=7; c5a.2xlarge=5; c5a.xlarge=5; d3.2xlarge=4; d3.xlarge=0; i3.2xlarge=1; i3.large=1; i3.xlarge=1; m5.2xlarge=1; m5.large=4; m5.xlarge=4; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=16; m5zn.large=12; m5zn.xlarge=14; r5.2xlarge=1; r5.large=0; r5.xlarge=2; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=3; z1d.2xlarge=0; z1d.large=4; z1d.xlarge=8}
chipseq,normal,0.0,40,92,RESHIMAX,350.18999999999994,4, 9, 4, 5, 5, 0, 1, 2, 1, 1, 3, 4, 0, 0, 0, 20, 8, 13, 1, 0, 2, 0, 0, 6, 0, 3, 6,{c5.2xlarge=4; c5.xlarge=9; c5a.2xlarge=4; c5a.xlarge=5; d3.2xlarge=5; d3.xlarge=0; i3.2xlarge=1; i3.large=2; i3.xlarge=1; m5.2xlarge=1; m5.large=3; m5.xlarge=4; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=20; m5zn.large=8; m5zn.xlarge=13; r5.2xlarge=1; r5.large=0; r5.xlarge=2; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=6; z1d.2xlarge=0; z1d.large=3; z1d.xlarge=6}
chipseq,normal,0.0,40,92,RESHIFCFS,409.22999999999996,5, 6, 6, 5, 4, 0, 1, 1, 2, 1, 1, 4, 0, 0, 0, 20, 17, 13, 1, 0, 1, 0, 0, 2, 0, 4, 4,{c5.2xlarge=5; c5.xlarge=6; c5a.2xlarge=6; c5a.xlarge=5; d3.2xlarge=4; d3.xlarge=0; i3.2xlarge=1; i3.large=1; i3.xlarge=2; m5.2xlarge=1; m5.large=1; m5.xlarge=4; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=20; m5zn.large=17; m5zn.xlarge=13; r5.2xlarge=1; r5.large=0; r5.xlarge=1; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=4; z1d.xlarge=4}
chipseq,normal,0.0,40,93,MINMIN,402.37,5, 6, 3, 3, 6, 0, 2, 1, 0, 2, 2, 3, 0, 0, 0, 23, 14, 15, 2, 0, 1, 0, 0, 3, 0, 3, 4,{c5.2xlarge=5; c5.xlarge=6; c5a.2xlarge=3; c5a.xlarge=3; d3.2xlarge=6; d3.xlarge=0; i3.2xlarge=2; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=2; m5.xlarge=3; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=23; m5zn.large=14; m5zn.xlarge=15; r5.2xlarge=2; r5.large=0; r5.xlarge=1; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=3; z1d.2xlarge=0; z1d.large=3; z1d.xlarge=4}
chipseq,normal,0.0,40,93,MAXMIN,503.35999999999996,2, 4, 0, 0, 3, 8, 1, 0, 2, 10, 4, 6, 4, 4, 0, 11, 4, 2, 5, 8, 9, 0, 4, 4, 0, 3, 0,{c5.2xlarge=2; c5.xlarge=4; c5a.2xlarge=0; c5a.xlarge=0; d3.2xlarge=3; d3.xlarge=8; i3.2xlarge=1; i3.large=0; i3.xlarge=2; m5.2xlarge=10; m5.large=4; m5.xlarge=6; m5a.2xlarge=4; m5a.large=4; m5a.xlarge=0; m5zn.2xlarge=11; m5zn.large=4; m5zn.xlarge=2; r5.2xlarge=5; r5.large=8; r5.xlarge=9; r5a.2xlarge=0; r5a.large=4; r5a.xlarge=4; z1d.2xlarge=0; z1d.large=3; z1d.xlarge=0}
chipseq,normal,0.0,40,93,MCT,466.09000000000003,6, 6, 0, 0, 2, 9, 1, 0, 1, 7, 4, 5, 1, 2, 0, 13, 6, 7, 3, 7, 6, 0, 3, 2, 0, 7, 0,{c5.2xlarge=6; c5.xlarge=6; c5a.2xlarge=0; c5a.xlarge=0; d3.2xlarge=2; d3.xlarge=9; i3.2xlarge=1; i3.large=0; i3.xlarge=1; m5.2xlarge=7; m5.large=4; m5.xlarge=5; m5a.2xlarge=1; m5a.large=2; m5a.xlarge=0; m5zn.2xlarge=13; m5zn.large=6; m5zn.xlarge=7; r5.2xlarge=3; r5.large=7; r5.xlarge=6; r5a.2xlarge=0; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=7; z1d.xlarge=0}
chipseq,normal,0.0,40,93,ROUNDROBIN,725.6999999999999,3, 3, 0, 0, 1, 10, 2, 0, 5, 6, 1, 9, 4, 5, 0, 6, 4, 2, 9, 1, 12, 3, 8, 3, 0, 1, 0,{c5.2xlarge=3; c5.xlarge=3; c5a.2xlarge=0; c5a.xlarge=0; d3.2xlarge=1; d3.xlarge=10; i3.2xlarge=2; i3.large=0; i3.xlarge=5; m5.2xlarge=6; m5.large=1; m5.xlarge=9; m5a.2xlarge=4; m5a.large=5; m5a.xlarge=0; m5zn.2xlarge=6; m5zn.large=4; m5zn.xlarge=2; r5.2xlarge=9; r5.large=1; r5.xlarge=12; r5a.2xlarge=3; r5a.large=8; r5a.xlarge=3; z1d.2xlarge=0; z1d.large=1; z1d.xlarge=0}
chipseq,normal,0.0,40,93,STATIC,396.77999999999986,5, 4, 0, 0, 2, 6, 1, 0, 1, 11, 1, 6, 2, 4, 0, 10, 5, 5, 13, 2, 8, 0, 6, 3, 0, 3, 0,{c5.2xlarge=5; c5.xlarge=4; c5a.2xlarge=0; c5a.xlarge=0; d3.2xlarge=2; d3.xlarge=6; i3.2xlarge=1; i3.large=0; i3.xlarge=1; m5.2xlarge=11; m5.large=1; m5.xlarge=6; m5a.2xlarge=2; m5a.large=4; m5a.xlarge=0; m5zn.2xlarge=10; m5zn.large=5; m5zn.xlarge=5; r5.2xlarge=13; r5.large=2; r5.xlarge=8; r5a.2xlarge=0; r5a.large=6; r5a.xlarge=3; z1d.2xlarge=0; z1d.large=3; z1d.xlarge=0}
chipseq,normal,0.0,40,93,NOML,504.05999999999995,7, 5, 0, 0, 1, 1, 0, 0, 0, 13, 2, 9, 6, 5, 0, 8, 3, 3, 6, 6, 6, 3, 5, 5, 0, 4, 0,{c5.2xlarge=7; c5.xlarge=5; c5a.2xlarge=0; c5a.xlarge=0; d3.2xlarge=1; d3.xlarge=1; i3.2xlarge=0; i3.large=0; i3.xlarge=0; m5.2xlarge=13; m5.large=2; m5.xlarge=9; m5a.2xlarge=6; m5a.large=5; m5a.xlarge=0; m5zn.2xlarge=8; m5zn.large=3; m5zn.xlarge=3; r5.2xlarge=6; r5.large=6; r5.xlarge=6; r5a.2xlarge=3; r5a.large=5; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=4; z1d.xlarge=0}
chipseq,normal,0.0,40,93,TEXTDISTANCE,548.6399999999999,5, 2, 0, 0, 1, 6, 1, 0, 2, 12, 6, 8, 5, 4, 0, 5, 2, 3, 8, 4, 11, 3, 6, 1, 0, 3, 0,{c5.2xlarge=5; c5.xlarge=2; c5a.2xlarge=0; c5a.xlarge=0; d3.2xlarge=1; d3.xlarge=6; i3.2xlarge=1; i3.large=0; i3.xlarge=2; m5.2xlarge=12; m5.large=6; m5.xlarge=8; m5a.2xlarge=5; m5a.large=4; m5a.xlarge=0; m5zn.2xlarge=5; m5zn.large=2; m5zn.xlarge=3; r5.2xlarge=8; r5.large=4; r5.xlarge=11; r5a.2xlarge=3; r5a.large=6; r5a.xlarge=1; z1d.2xlarge=0; z1d.large=3; z1d.xlarge=0}
chipseq,normal,0.0,40,93,CRITICALPATH,400.85999999999996,5, 4, 0, 0, 2, 7, 2, 0, 2, 8, 2, 5, 1, 4, 0, 10, 7, 5, 8, 4, 6, 0, 7, 5, 0, 4, 0,{c5.2xlarge=5; c5.xlarge=4; c5a.2xlarge=0; c5a.xlarge=0; d3.2xlarge=2; d3.xlarge=7; i3.2xlarge=2; i3.large=0; i3.xlarge=2; m5.2xlarge=8; m5.large=2; m5.xlarge=5; m5a.2xlarge=1; m5a.large=4; m5a.xlarge=0; m5zn.2xlarge=10; m5zn.large=7; m5zn.xlarge=5; r5.2xlarge=8; r5.large=4; r5.xlarge=6; r5a.2xlarge=0; r5a.large=7; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=4; z1d.xlarge=0}
chipseq,normal,0.0,40,93,CRITICALPATHREVERSE,482.2099999999999,6, 5, 0, 0, 2, 12, 0, 0, 0, 6, 4, 5, 2, 2, 0, 10, 9, 6, 3, 7, 3, 1, 5, 2, 0, 8, 0,{c5.2xlarge=6; c5.xlarge=5; c5a.2xlarge=0; c5a.xlarge=0; d3.2xlarge=2; d3.xlarge=12; i3.2xlarge=0; i3.large=0; i3.xlarge=0; m5.2xlarge=6; m5.large=4; m5.xlarge=5; m5a.2xlarge=2; m5a.large=2; m5a.xlarge=0; m5zn.2xlarge=10; m5zn.large=9; m5zn.xlarge=6; r5.2xlarge=3; r5.large=7; r5.xlarge=3; r5a.2xlarge=1; r5a.large=5; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=8; z1d.xlarge=0}
chipseq,normal,0.0,40,93,RESHIV2,401.02,5, 3, 0, 0, 2, 8, 1, 0, 1, 9, 5, 7, 1, 2, 0, 10, 7, 5, 4, 10, 7, 0, 4, 2, 0, 5, 0,{c5.2xlarge=5; c5.xlarge=3; c5a.2xlarge=0; c5a.xlarge=0; d3.2xlarge=2; d3.xlarge=8; i3.2xlarge=1; i3.large=0; i3.xlarge=1; m5.2xlarge=9; m5.large=5; m5.xlarge=7; m5a.2xlarge=1; m5a.large=2; m5a.xlarge=0; m5zn.2xlarge=10; m5zn.large=7; m5zn.xlarge=5; r5.2xlarge=4; r5.large=10; r5.xlarge=7; r5a.2xlarge=0; r5a.large=4; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=5; z1d.xlarge=0}
chipseq,normal,0.0,40,93,RESHIV3,401.02,5, 4, 0, 0, 2, 7, 1, 0, 1, 9, 5, 7, 1, 2, 0, 10, 7, 5, 3, 10, 7, 0, 4, 4, 0, 4, 0,{c5.2xlarge=5; c5.xlarge=4; c5a.2xlarge=0; c5a.xlarge=0; d3.2xlarge=2; d3.xlarge=7; i3.2xlarge=1; i3.large=0; i3.xlarge=1; m5.2xlarge=9; m5.large=5; m5.xlarge=7; m5a.2xlarge=1; m5a.large=2; m5a.xlarge=0; m5zn.2xlarge=10; m5zn.large=7; m5zn.xlarge=5; r5.2xlarge=3; r5.large=10; r5.xlarge=7; r5a.2xlarge=0; r5a.large=4; r5a.xlarge=4; z1d.2xlarge=0; z1d.large=4; z1d.xlarge=0}
chipseq,normal,0.0,40,93,RESHIMAX,504.7899999999999,3, 3, 0, 0, 4, 9, 1, 0, 2, 6, 4, 7, 1, 4, 0, 9, 6, 2, 6, 8, 9, 0, 5, 5, 0, 4, 0,{c5.2xlarge=3; c5.xlarge=3; c5a.2xlarge=0; c5a.xlarge=0; d3.2xlarge=4; d3.xlarge=9; i3.2xlarge=1; i3.large=0; i3.xlarge=2; m5.2xlarge=6; m5.large=4; m5.xlarge=7; m5a.2xlarge=1; m5a.large=4; m5a.xlarge=0; m5zn.2xlarge=9; m5zn.large=6; m5zn.xlarge=2; r5.2xlarge=6; r5.large=8; r5.xlarge=9; r5a.2xlarge=0; r5a.large=5; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=4; z1d.xlarge=0}
chipseq,normal,0.0,40,93,RESHIFCFS,465.29999999999995,5, 3, 0, 0, 2, 10, 1, 0, 1, 6, 4, 7, 1, 2, 0, 13, 10, 4, 3, 8, 6, 0, 4, 2, 0, 6, 0,{c5.2xlarge=5; c5.xlarge=3; c5a.2xlarge=0; c5a.xlarge=0; d3.2xlarge=2; d3.xlarge=10; i3.2xlarge=1; i3.large=0; i3.xlarge=1; m5.2xlarge=6; m5.large=4; m5.xlarge=7; m5a.2xlarge=1; m5a.large=2; m5a.xlarge=0; m5zn.2xlarge=13; m5zn.large=10; m5zn.xlarge=4; r5.2xlarge=3; r5.large=8; r5.xlarge=6; r5a.2xlarge=0; r5a.large=4; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=6; z1d.xlarge=0}
chipseq,normal,0.0,40,94,MINMIN,407.84999999999997,6, 6, 0, 0, 2, 11, 1, 0, 1, 12, 3, 4, 0, 2, 0, 11, 7, 5, 5, 5, 6, 1, 3, 2, 0, 5, 0,{c5.2xlarge=6; c5.xlarge=6; c5a.2xlarge=0; c5a.xlarge=0; d3.2xlarge=2; d3.xlarge=11; i3.2xlarge=1; i3.large=0; i3.xlarge=1; m5.2xlarge=12; m5.large=3; m5.xlarge=4; m5a.2xlarge=0; m5a.large=2; m5a.xlarge=0; m5zn.2xlarge=11; m5zn.large=7; m5zn.xlarge=5; r5.2xlarge=5; r5.large=5; r5.xlarge=6; r5a.2xlarge=1; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=5; z1d.xlarge=0}
chipseq,normal,0.0,40,94,MAXMIN,476.29999999999995,0, 6, 0, 4, 6, 2, 0, 7, 2, 0, 0, 2, 1, 7, 6, 13, 5, 17, 0, 0, 2, 2, 0, 5, 3, 5, 3,{c5.2xlarge=0; c5.xlarge=6; c5a.2xlarge=0; c5a.xlarge=4; d3.2xlarge=6; d3.xlarge=2; i3.2xlarge=0; i3.large=7; i3.xlarge=2; m5.2xlarge=0; m5.large=0; m5.xlarge=2; m5a.2xlarge=1; m5a.large=7; m5a.xlarge=6; m5zn.2xlarge=13; m5zn.large=5; m5zn.xlarge=17; r5.2xlarge=0; r5.large=0; r5.xlarge=2; r5a.2xlarge=2; r5a.large=0; r5a.xlarge=5; z1d.2xlarge=3; z1d.large=5; z1d.xlarge=3}
chipseq,normal,0.0,40,94,MCT,355.47999999999996,0, 7, 0, 5, 3, 2, 0, 4, 1, 0, 0, 2, 1, 4, 3, 17, 14, 19, 0, 0, 1, 0, 0, 3, 2, 7, 3,{c5.2xlarge=0; c5.xlarge=7; c5a.2xlarge=0; c5a.xlarge=5; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=0; i3.large=4; i3.xlarge=1; m5.2xlarge=0; m5.large=0; m5.xlarge=2; m5a.2xlarge=1; m5a.large=4; m5a.xlarge=3; m5zn.2xlarge=17; m5zn.large=14; m5zn.xlarge=19; r5.2xlarge=0; r5.large=0; r5.xlarge=1; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=3; z1d.2xlarge=2; z1d.large=7; z1d.xlarge=3}
chipseq,normal,0.0,40,94,ROUNDROBIN,537.3299999999999,0, 4, 0, 2, 7, 5, 0, 7, 8, 0, 0, 5, 1, 6, 9, 9, 4, 7, 0, 0, 5, 5, 0, 3, 1, 3, 7,{c5.2xlarge=0; c5.xlarge=4; c5a.2xlarge=0; c5a.xlarge=2; d3.2xlarge=7; d3.xlarge=5; i3.2xlarge=0; i3.large=7; i3.xlarge=8; m5.2xlarge=0; m5.large=0; m5.xlarge=5; m5a.2xlarge=1; m5a.large=6; m5a.xlarge=9; m5zn.2xlarge=9; m5zn.large=4; m5zn.xlarge=7; r5.2xlarge=0; r5.large=0; r5.xlarge=5; r5a.2xlarge=5; r5a.large=0; r5a.xlarge=3; z1d.2xlarge=1; z1d.large=3; z1d.xlarge=7}
chipseq,normal,0.0,40,94,STATIC,347.25,0, 7, 0, 4, 4, 1, 0, 7, 4, 0, 0, 3, 1, 11, 1, 14, 10, 12, 0, 0, 2, 2, 0, 4, 4, 4, 3,{c5.2xlarge=0; c5.xlarge=7; c5a.2xlarge=0; c5a.xlarge=4; d3.2xlarge=4; d3.xlarge=1; i3.2xlarge=0; i3.large=7; i3.xlarge=4; m5.2xlarge=0; m5.large=0; m5.xlarge=3; m5a.2xlarge=1; m5a.large=11; m5a.xlarge=1; m5zn.2xlarge=14; m5zn.large=10; m5zn.xlarge=12; r5.2xlarge=0; r5.large=0; r5.xlarge=2; r5a.2xlarge=2; r5a.large=0; r5a.xlarge=4; z1d.2xlarge=4; z1d.large=4; z1d.xlarge=3}
chipseq,normal,0.0,40,94,NOML,451.9899999999999,0, 12, 0, 5, 2, 2, 0, 1, 0, 0, 0, 4, 3, 9, 12, 9, 4, 11, 0, 0, 2, 4, 0, 3, 4, 8, 3,{c5.2xlarge=0; c5.xlarge=12; c5a.2xlarge=0; c5a.xlarge=5; d3.2xlarge=2; d3.xlarge=2; i3.2xlarge=0; i3.large=1; i3.xlarge=0; m5.2xlarge=0; m5.large=0; m5.xlarge=4; m5a.2xlarge=3; m5a.large=9; m5a.xlarge=12; m5zn.2xlarge=9; m5zn.large=4; m5zn.xlarge=11; r5.2xlarge=0; r5.large=0; r5.xlarge=2; r5a.2xlarge=4; r5a.large=0; r5a.xlarge=3; z1d.2xlarge=4; z1d.large=8; z1d.xlarge=3}
chipseq,normal,0.0,40,94,TEXTDISTANCE,548.64,0, 4, 0, 2, 2, 1, 0, 5, 3, 0, 0, 6, 2, 12, 11, 15, 7, 12, 0, 0, 4, 4, 0, 3, 2, 1, 2,{c5.2xlarge=0; c5.xlarge=4; c5a.2xlarge=0; c5a.xlarge=2; d3.2xlarge=2; d3.xlarge=1; i3.2xlarge=0; i3.large=5; i3.xlarge=3; m5.2xlarge=0; m5.large=0; m5.xlarge=6; m5a.2xlarge=2; m5a.large=12; m5a.xlarge=11; m5zn.2xlarge=15; m5zn.large=7; m5zn.xlarge=12; r5.2xlarge=0; r5.large=0; r5.xlarge=4; r5a.2xlarge=4; r5a.large=0; r5a.xlarge=3; z1d.2xlarge=2; z1d.large=1; z1d.xlarge=2}
chipseq,normal,0.0,40,94,CRITICALPATH,400.85999999999996,0, 2, 0, 5, 4, 4, 0, 6, 2, 0, 0, 2, 1, 8, 9, 15, 11, 14, 0, 0, 3, 0, 0, 4, 2, 4, 2,{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=0; c5a.xlarge=5; d3.2xlarge=4; d3.xlarge=4; i3.2xlarge=0; i3.large=6; i3.xlarge=2; m5.2xlarge=0; m5.large=0; m5.xlarge=2; m5a.2xlarge=1; m5a.large=8; m5a.xlarge=9; m5zn.2xlarge=15; m5zn.large=11; m5zn.xlarge=14; r5.2xlarge=0; r5.large=0; r5.xlarge=3; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=4; z1d.2xlarge=2; z1d.large=4; z1d.xlarge=2}
chipseq,normal,0.0,40,94,CRITICALPATHREVERSE,531.6899999999999,0, 4, 0, 5, 5, 3, 0, 4, 1, 0, 0, 2, 0, 6, 4, 12, 15, 19, 0, 0, 2, 0, 0, 3, 2, 9, 2,{c5.2xlarge=0; c5.xlarge=4; c5a.2xlarge=0; c5a.xlarge=5; d3.2xlarge=5; d3.xlarge=3; i3.2xlarge=0; i3.large=4; i3.xlarge=1; m5.2xlarge=0; m5.large=0; m5.xlarge=2; m5a.2xlarge=0; m5a.large=6; m5a.xlarge=4; m5zn.2xlarge=12; m5zn.large=15; m5zn.xlarge=19; r5.2xlarge=0; r5.large=0; r5.xlarge=2; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=3; z1d.2xlarge=2; z1d.large=9; z1d.xlarge=2}
chipseq,normal,0.0,40,94,RESHIV2,401.02,0, 8, 0, 5, 5, 3, 0, 3, 1, 0, 0, 4, 1, 6, 4, 15, 11, 13, 0, 0, 3, 0, 0, 3, 3, 8, 2,{c5.2xlarge=0; c5.xlarge=8; c5a.2xlarge=0; c5a.xlarge=5; d3.2xlarge=5; d3.xlarge=3; i3.2xlarge=0; i3.large=3; i3.xlarge=1; m5.2xlarge=0; m5.large=0; m5.xlarge=4; m5a.2xlarge=1; m5a.large=6; m5a.xlarge=4; m5zn.2xlarge=15; m5zn.large=11; m5zn.xlarge=13; r5.2xlarge=0; r5.large=0; r5.xlarge=3; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=3; z1d.2xlarge=3; z1d.large=8; z1d.xlarge=2}
chipseq,normal,0.0,40,94,RESHIV3,401.0199999999999,0, 8, 0, 5, 4, 4, 0, 3, 1, 0, 0, 4, 1, 6, 4, 15, 11, 13, 0, 0, 3, 0, 0, 3, 3, 8, 2,{c5.2xlarge=0; c5.xlarge=8; c5a.2xlarge=0; c5a.xlarge=5; d3.2xlarge=4; d3.xlarge=4; i3.2xlarge=0; i3.large=3; i3.xlarge=1; m5.2xlarge=0; m5.large=0; m5.xlarge=4; m5a.2xlarge=1; m5a.large=6; m5a.xlarge=4; m5zn.2xlarge=15; m5zn.large=11; m5zn.xlarge=13; r5.2xlarge=0; r5.large=0; r5.xlarge=3; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=3; z1d.2xlarge=3; z1d.large=8; z1d.xlarge=2}
chipseq,normal,0.0,40,94,RESHIMAX,355.7699999999999,0, 9, 0, 4, 3, 3, 0, 6, 2, 0, 0, 2, 1, 5, 4, 12, 8, 16, 0, 0, 2, 0, 0, 5, 4, 7, 5,{c5.2xlarge=0; c5.xlarge=9; c5a.2xlarge=0; c5a.xlarge=4; d3.2xlarge=3; d3.xlarge=3; i3.2xlarge=0; i3.large=6; i3.xlarge=2; m5.2xlarge=0; m5.large=0; m5.xlarge=2; m5a.2xlarge=1; m5a.large=5; m5a.xlarge=4; m5zn.2xlarge=12; m5zn.large=8; m5zn.xlarge=16; r5.2xlarge=0; r5.large=0; r5.xlarge=2; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=5; z1d.2xlarge=4; z1d.large=7; z1d.xlarge=5}
chipseq,normal,0.0,40,94,RESHIFCFS,412.34999999999997,0, 5, 0, 6, 3, 2, 0, 4, 1, 0, 0, 2, 1, 4, 3, 15, 16, 15, 0, 0, 1, 0, 0, 3, 2, 12, 3,{c5.2xlarge=0; c5.xlarge=5; c5a.2xlarge=0; c5a.xlarge=6; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=0; i3.large=4; i3.xlarge=1; m5.2xlarge=0; m5.large=0; m5.xlarge=2; m5a.2xlarge=1; m5a.large=4; m5a.xlarge=3; m5zn.2xlarge=15; m5zn.large=16; m5zn.xlarge=15; r5.2xlarge=0; r5.large=0; r5.xlarge=1; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=3; z1d.2xlarge=2; z1d.large=12; z1d.xlarge=3}
chipseq,normal,0.0,40,95,MINMIN,412.3399999999999,0, 6, 0, 5, 3, 2, 0, 3, 1, 0, 0, 2, 0, 5, 4, 16, 13, 21, 0, 0, 2, 0, 0, 5, 2, 6, 2,{c5.2xlarge=0; c5.xlarge=6; c5a.2xlarge=0; c5a.xlarge=5; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=0; i3.large=3; i3.xlarge=1; m5.2xlarge=0; m5.large=0; m5.xlarge=2; m5a.2xlarge=0; m5a.large=5; m5a.xlarge=4; m5zn.2xlarge=16; m5zn.large=13; m5zn.xlarge=21; r5.2xlarge=0; r5.large=0; r5.xlarge=2; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=5; z1d.2xlarge=2; z1d.large=6; z1d.xlarge=2}
chipseq,normal,0.0,40,95,MAXMIN,402.8999999999999,8, 0, 0, 0, 0, 9, 3, 0, 0, 2, 0, 4, 0, 0, 1, 23, 5, 17, 2, 1, 0, 1, 2, 4, 10, 2, 4,{c5.2xlarge=8; c5.xlarge=0; c5a.2xlarge=0; c5a.xlarge=0; d3.2xlarge=0; d3.xlarge=9; i3.2xlarge=3; i3.large=0; i3.xlarge=0; m5.2xlarge=2; m5.large=0; m5.xlarge=4; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=23; m5zn.large=5; m5zn.xlarge=17; r5.2xlarge=2; r5.large=1; r5.xlarge=0; r5a.2xlarge=1; r5a.large=2; r5a.xlarge=4; z1d.2xlarge=10; z1d.large=2; z1d.xlarge=4}
