Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes,Cluster
chipseq,normal,0.2,40,0,MINMIN,533.31,0, 9, 12, 9, 7, 5, 1, 1, 0, 4, 1, 7, 1, 0, 2, 16, 0, 6, 0, 2, 3, 2, 3, 2, 0, 0, 5,{c5.2xlarge=0; c5.xlarge=9; c5a.2xlarge=12; c5a.xlarge=9; d3.2xlarge=7; d3.xlarge=5; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=4; m5.large=1; m5.xlarge=7; m5a.2xlarge=1; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=16; m5zn.large=0; m5zn.xlarge=6; r5.2xlarge=0; r5.large=2; r5.xlarge=3; r5a.2xlarge=2; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=5},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.2,40,0,RESHIV3,481.87999999999994,0, 7, 11, 10, 7, 8, 2, 3, 0, 2, 3, 6, 0, 0, 3, 15, 0, 3, 0, 3, 6, 1, 3, 2, 0, 0, 3,{c5.2xlarge=0; c5.xlarge=7; c5a.2xlarge=11; c5a.xlarge=10; d3.2xlarge=7; d3.xlarge=8; i3.2xlarge=2; i3.large=3; i3.xlarge=0; m5.2xlarge=2; m5.large=3; m5.xlarge=6; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=15; m5zn.large=0; m5zn.xlarge=3; r5.2xlarge=0; r5.large=3; r5.xlarge=6; r5a.2xlarge=1; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=3},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.2,40,0,RESHIMAX,489.9699999999999,0, 8, 9, 6, 11, 8, 1, 2, 0, 2, 3, 8, 1, 0, 2, 11, 0, 2, 0, 3, 4, 3, 4, 6, 0, 0, 4,{c5.2xlarge=0; c5.xlarge=8; c5a.2xlarge=9; c5a.xlarge=6; d3.2xlarge=11; d3.xlarge=8; i3.2xlarge=1; i3.large=2; i3.xlarge=0; m5.2xlarge=2; m5.large=3; m5.xlarge=8; m5a.2xlarge=1; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=11; m5zn.large=0; m5zn.xlarge=2; r5.2xlarge=0; r5.large=3; r5.xlarge=4; r5a.2xlarge=3; r5a.large=4; r5a.xlarge=6; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=4},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.2,40,0,RESHIFCFS,536.8199999999999,0, 6, 12, 9, 10, 5, 2, 2, 0, 3, 3, 5, 1, 0, 1, 13, 0, 3, 0, 3, 4, 3, 3, 6, 0, 0, 4,{c5.2xlarge=0; c5.xlarge=6; c5a.2xlarge=12; c5a.xlarge=9; d3.2xlarge=10; d3.xlarge=5; i3.2xlarge=2; i3.large=2; i3.xlarge=0; m5.2xlarge=3; m5.large=3; m5.xlarge=5; m5a.2xlarge=1; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=13; m5zn.large=0; m5zn.xlarge=3; r5.2xlarge=0; r5.large=3; r5.xlarge=4; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=6; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=4},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.2,40,1,MINMIN,530.9,0, 6, 19, 11, 7, 6, 1, 1, 0, 4, 4, 5, 1, 0, 2, 15, 0, 5, 0, 2, 4, 1, 3, 1, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=6; c5a.2xlarge=19; c5a.xlarge=11; d3.2xlarge=7; d3.xlarge=6; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=4; m5.large=4; m5.xlarge=5; m5a.2xlarge=1; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=15; m5zn.large=0; m5zn.xlarge=5; r5.2xlarge=0; r5.large=2; r5.xlarge=4; r5a.2xlarge=1; r5a.large=3; r5a.xlarge=1; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=2; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,normal,0.2,40,1,MAXMIN,474.34999999999997,0, 10, 11, 8, 6, 6, 0, 2, 0, 4, 3, 8, 4, 0, 2, 11, 0, 5, 0, 2, 6, 2, 3, 5, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=10; c5a.2xlarge=11; c5a.xlarge=8; d3.2xlarge=6; d3.xlarge=6; i3.2xlarge=0; i3.large=2; i3.xlarge=0; m5.2xlarge=4; m5.large=3; m5.xlarge=8; m5a.2xlarge=4; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=11; m5zn.large=0; m5zn.xlarge=5; r5.2xlarge=0; r5.large=2; r5.xlarge=6; r5a.2xlarge=2; r5a.large=3; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=2; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,normal,0.2,40,1,MCT,405.5799999999999,0, 10, 12, 11, 6, 5, 0, 1, 0, 3, 6, 4, 1, 0, 2, 17, 0, 7, 0, 2, 5, 1, 3, 2, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=10; c5a.2xlarge=12; c5a.xlarge=11; d3.2xlarge=6; d3.xlarge=5; i3.2xlarge=0; i3.large=1; i3.xlarge=0; m5.2xlarge=3; m5.large=6; m5.xlarge=4; m5a.2xlarge=1; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=17; m5zn.large=0; m5zn.xlarge=7; r5.2xlarge=0; r5.large=2; r5.xlarge=5; r5a.2xlarge=1; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=2; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,normal,0.2,40,1,ROUNDROBIN,561.6999999999999,0, 6, 10, 6, 8, 7, 1, 1, 0, 5, 9, 1, 8, 0, 3, 9, 0, 1, 0, 1, 7, 4, 9, 2, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=6; c5a.2xlarge=10; c5a.xlarge=6; d3.2xlarge=8; d3.xlarge=7; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=5; m5.large=9; m5.xlarge=1; m5a.2xlarge=8; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=9; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=7; r5a.2xlarge=4; r5a.large=9; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=2; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,normal,0.2,40,1,STATIC,358.33,0, 9, 12, 11, 3, 6, 0, 1, 0, 4, 8, 5, 3, 0, 1, 15, 0, 5, 0, 2, 5, 1, 5, 2, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=9; c5a.2xlarge=12; c5a.xlarge=11; d3.2xlarge=3; d3.xlarge=6; i3.2xlarge=0; i3.large=1; i3.xlarge=0; m5.2xlarge=4; m5.large=8; m5.xlarge=5; m5a.2xlarge=3; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=15; m5zn.large=0; m5zn.xlarge=5; r5.2xlarge=0; r5.large=2; r5.xlarge=5; r5a.2xlarge=1; r5a.large=5; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=2; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,normal,0.2,40,1,NOML,706.6999999999999,0, 9, 12, 8, 3, 3, 1, 3, 0, 5, 3, 7, 7, 0, 6, 5, 0, 2, 0, 2, 4, 9, 5, 4, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=9; c5a.2xlarge=12; c5a.xlarge=8; d3.2xlarge=3; d3.xlarge=3; i3.2xlarge=1; i3.large=3; i3.xlarge=0; m5.2xlarge=5; m5.large=3; m5.xlarge=7; m5a.2xlarge=7; m5a.large=0; m5a.xlarge=6; m5zn.2xlarge=5; m5zn.large=0; m5zn.xlarge=2; r5.2xlarge=0; r5.large=2; r5.xlarge=4; r5a.2xlarge=9; r5a.large=5; r5a.xlarge=4; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=2; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,normal,0.2,40,1,CUSTOMCLUSTERNOML,559.4799999999999,0, 3, 12, 9, 9, 4, 3, 3, 0, 4, 5, 5, 3, 0, 2, 13, 0, 3, 0, 5, 3, 1, 6, 5, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=3; c5a.2xlarge=12; c5a.xlarge=9; d3.2xlarge=9; d3.xlarge=4; i3.2xlarge=3; i3.large=3; i3.xlarge=0; m5.2xlarge=4; m5.large=5; m5.xlarge=5; m5a.2xlarge=3; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=13; m5zn.large=0; m5zn.xlarge=3; r5.2xlarge=0; r5.large=5; r5.xlarge=3; r5a.2xlarge=1; r5a.large=6; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=2; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,normal,0.2,40,1,TEXTDISTANCE,353.65,0, 5, 10, 7, 5, 4, 3, 3, 0, 7, 6, 12, 2, 0, 2, 7, 0, 4, 0, 2, 7, 5, 4, 3, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=5; c5a.2xlarge=10; c5a.xlarge=7; d3.2xlarge=5; d3.xlarge=4; i3.2xlarge=3; i3.large=3; i3.xlarge=0; m5.2xlarge=7; m5.large=6; m5.xlarge=12; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=7; m5zn.large=0; m5zn.xlarge=4; r5.2xlarge=0; r5.large=2; r5.xlarge=7; r5a.2xlarge=5; r5a.large=4; r5a.xlarge=3; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=2; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,normal,0.2,40,1,CRITICALPATH,474.13999999999993,0, 5, 13, 10, 7, 4, 2, 3, 0, 4, 2, 8, 2, 0, 5, 9, 0, 2, 0, 4, 4, 3, 6, 5, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=5; c5a.2xlarge=13; c5a.xlarge=10; d3.2xlarge=7; d3.xlarge=4; i3.2xlarge=2; i3.large=3; i3.xlarge=0; m5.2xlarge=4; m5.large=2; m5.xlarge=8; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=5; m5zn.2xlarge=9; m5zn.large=0; m5zn.xlarge=2; r5.2xlarge=0; r5.large=4; r5.xlarge=4; r5a.2xlarge=3; r5a.large=6; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=2; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,normal,0.2,40,1,CRITICALPATHREVERSE,487.49999999999994,0, 10, 12, 13, 5, 6, 2, 1, 0, 2, 5, 3, 3, 0, 4, 14, 0, 5, 0, 2, 2, 1, 4, 4, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=10; c5a.2xlarge=12; c5a.xlarge=13; d3.2xlarge=5; d3.xlarge=6; i3.2xlarge=2; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=5; m5.xlarge=3; m5a.2xlarge=3; m5a.large=0; m5a.xlarge=4; m5zn.2xlarge=14; m5zn.large=0; m5zn.xlarge=5; r5.2xlarge=0; r5.large=2; r5.xlarge=2; r5a.2xlarge=1; r5a.large=4; r5a.xlarge=4; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=2; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,normal,0.2,40,1,RESHIV2,525.14,0, 5, 12, 11, 8, 4, 2, 3, 0, 4, 8, 6, 3, 0, 2, 10, 0, 5, 0, 4, 3, 1, 5, 2, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=5; c5a.2xlarge=12; c5a.xlarge=11; d3.2xlarge=8; d3.xlarge=4; i3.2xlarge=2; i3.large=3; i3.xlarge=0; m5.2xlarge=4; m5.large=8; m5.xlarge=6; m5a.2xlarge=3; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=10; m5zn.large=0; m5zn.xlarge=5; r5.2xlarge=0; r5.large=4; r5.xlarge=3; r5a.2xlarge=1; r5a.large=5; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=2; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,normal,0.2,40,1,RESHIV3,486.03999999999996,0, 8, 15, 9, 10, 4, 1, 1, 0, 2, 5, 6, 3, 0, 3, 13, 0, 3, 0, 5, 3, 2, 3, 2, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=8; c5a.2xlarge=15; c5a.xlarge=9; d3.2xlarge=10; d3.xlarge=4; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=5; m5.xlarge=6; m5a.2xlarge=3; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=13; m5zn.large=0; m5zn.xlarge=3; r5.2xlarge=0; r5.large=5; r5.xlarge=3; r5a.2xlarge=2; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=2; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,normal,0.2,40,1,RESHIMAX,535.53,0, 7, 8, 6, 12, 8, 3, 2, 0, 2, 5, 8, 1, 0, 2, 10, 0, 2, 0, 4, 5, 5, 1, 7, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=7; c5a.2xlarge=8; c5a.xlarge=6; d3.2xlarge=12; d3.xlarge=8; i3.2xlarge=3; i3.large=2; i3.xlarge=0; m5.2xlarge=2; m5.large=5; m5.xlarge=8; m5a.2xlarge=1; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=10; m5zn.large=0; m5zn.xlarge=2; r5.2xlarge=0; r5.large=4; r5.xlarge=5; r5a.2xlarge=5; r5a.large=1; r5a.xlarge=7; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=2; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,normal,0.2,40,1,RESHIFCFS,481.35999999999996,0, 8, 13, 11, 8, 4, 2, 1, 0, 2, 5, 5, 4, 0, 1, 14, 0, 3, 0, 3, 4, 1, 5, 4, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=8; c5a.2xlarge=13; c5a.xlarge=11; d3.2xlarge=8; d3.xlarge=4; i3.2xlarge=2; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=5; m5.xlarge=5; m5a.2xlarge=4; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=14; m5zn.large=0; m5zn.xlarge=3; r5.2xlarge=0; r5.large=3; r5.xlarge=4; r5a.2xlarge=1; r5a.large=5; r5a.xlarge=4; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=2; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,normal,0.2,40,2,MINMIN,496.03999999999996,4, 3, 4, 0, 0, 6, 2, 1, 1, 3, 2, 0, 1, 2, 0, 0, 8, 23, 7, 6, 0, 0, 4, 1, 0, 9, 11,{c5.2xlarge=4; c5.xlarge=3; c5a.2xlarge=4; c5a.xlarge=0; d3.2xlarge=0; d3.xlarge=6; i3.2xlarge=2; i3.large=1; i3.xlarge=1; m5.2xlarge=3; m5.large=2; m5.xlarge=0; m5a.2xlarge=1; m5a.large=2; m5a.xlarge=0; m5zn.2xlarge=0; m5zn.large=8; m5zn.xlarge=23; r5.2xlarge=7; r5.large=6; r5.xlarge=0; r5a.2xlarge=0; r5a.large=4; r5a.xlarge=1; z1d.2xlarge=0; z1d.large=9; z1d.xlarge=11},{c5.2xlarge=1; c5.xlarge=1; c5a.2xlarge=1; c5a.xlarge=0; d3.2xlarge=0; d3.xlarge=3; i3.2xlarge=2; i3.large=1; i3.xlarge=3; m5.2xlarge=2; m5.large=1; m5.xlarge=0; m5a.2xlarge=1; m5a.large=2; m5a.xlarge=0; m5zn.2xlarge=0; m5zn.large=1; m5zn.xlarge=4; r5.2xlarge=4; r5.large=3; r5.xlarge=0; r5a.2xlarge=0; r5a.large=4; r5a.xlarge=1; z1d.2xlarge=0; z1d.large=2; z1d.xlarge=3}
chipseq,normal,0.2,40,2,MAXMIN,522.87,7, 2, 5, 0, 0, 7, 1, 2, 5, 3, 4, 0, 1, 2, 0, 0, 6, 13, 8, 8, 0, 0, 4, 1, 0, 8, 11,{c5.2xlarge=7; c5.xlarge=2; c5a.2xlarge=5; c5a.xlarge=0; d3.2xlarge=0; d3.xlarge=7; i3.2xlarge=1; i3.large=2; i3.xlarge=5; m5.2xlarge=3; m5.large=4; m5.xlarge=0; m5a.2xlarge=1; m5a.large=2; m5a.xlarge=0; m5zn.2xlarge=0; m5zn.large=6; m5zn.xlarge=13; r5.2xlarge=8; r5.large=8; r5.xlarge=0; r5a.2xlarge=0; r5a.large=4; r5a.xlarge=1; z1d.2xlarge=0; z1d.large=8; z1d.xlarge=11},{c5.2xlarge=1; c5.xlarge=1; c5a.2xlarge=1; c5a.xlarge=0; d3.2xlarge=0; d3.xlarge=3; i3.2xlarge=2; i3.large=1; i3.xlarge=3; m5.2xlarge=2; m5.large=1; m5.xlarge=0; m5a.2xlarge=1; m5a.large=2; m5a.xlarge=0; m5zn.2xlarge=0; m5zn.large=1; m5zn.xlarge=4; r5.2xlarge=4; r5.large=3; r5.xlarge=0; r5a.2xlarge=0; r5a.large=4; r5a.xlarge=1; z1d.2xlarge=0; z1d.large=2; z1d.xlarge=3}
